OBJECTID,FID_ANP_Fed_ZN_ccl_V1_0,CLAVE,TIPO,,NOM_ANP,TIPO_POL,ANP & Zona Nucleo,NOM_POLIG,CAT_MANEJO,FEC_DECRET,ESTADO,MUNICIPIO,CAT_UICN,FUENTE,SUP_DECRE,HECTARES,SUPTER_CAL,SUPMAR_CAL,Ha_manu,FID_Concesiones_mineras_Agosto_2012,TITULO,IDENTICO,TITU_DERIV,TITULO_ANT,CLASE,EXPEDIENTE,AGENCIA,NOMBRELOTE,MUNICIPIO_1,ESTAMU,FECHA_SOL,SUPERFICIE,TITULAR,SUST1,SUST2,SUST3,SUST4,SUST5,SUST6,SUST7,SUST8,SUST9,EXPEDICION,VIGENCIA,ISLA,OBSERVA,CONDICION,TIPO_CAN,FECHA_OF,HECTAREAS,Inter_Has
15,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,5130,227280, , , ,EXPLOR.,30194,82,CARLOS,PUERTO PEÑASCO,SON.,01/27/2006,20,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,06/02/2006,06/01/2056, , ,VIGENTE, , ,20.1888333474,18.9648559457
16,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,13760,218373, , ,198419,EXPLOT.,4/1.3/1952,82,PINACATE I,PUERTO PEÑASCO,SON.,11/19/1999,439.5,RAMON CASTAÑARES GARCIA, , , , , , , , , ,11/05/2002,11/04/2052, , ,VIGENTE, , ,443.64132029,42.7847876559
17,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,13761,218374, , ,198420,EXPLOT.,4/1.3/1953,82,PINACATE 3,PUERTO PEÑASCO,SON.,11/19/1999,97.7399978638,RAMON CASTAÑARES GARCIA, , , , , , , , , ,11/05/2002,11/04/2052, , ,VIGENTE, , ,98.6193608,30.6237239052
18,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,13782,218284, , ,198421,EXPLOT.,4/1.3/1954,78,PINACATE 4,PUERTO PEÑASCO,SON.,11/19/1999,482.5,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,10/17/2002,10/16/2052, , ,VIGENTE, , ,486.803495218,30.7962276762
19,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,13784,218286, , ,198423,EXPLOT.,4/1.3/1956,78,PINACATE 8,PUERTO PEÑASCO,SON.,11/19/1999,440.299987793,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,10/17/2002,10/16/2052, , ,VIGENTE, , ,444.474057656,1.4142516193
20,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,13785,218287, , ,198424,EXPLOT.,4/1.3/1957,78,PINACATE 9,PUERTO PEÑASCO,SON.,11/19/1999,271.700012207,RAMON CASTAÑARES GARCIA,TRO, , , , , , , , ,10/17/2002,10/16/2052, , ,VIGENTE, , ,274.254142145,43.0004791016
21,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,17625,225425, , , ,EXPLOR.,29645,82,UNION 2,PUERTO PEÑASCO,SON.,05/19/2005,260,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,09/06/2005,09/05/2011, , ,VIGENTE, , ,262.43499842,119.518315209
22,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,17626,225426, , , ,EXPLOR.,29647,82,UNION 1,PUERTO PEÑASCO,SON.,05/19/2005,100,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,09/06/2005,09/05/2011, , ,VIGENTE, , ,100.936849029,76.7456670763
23,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,17951,220812, , , ,EXPLOR.,28563,82,UNION FRACCION B,PUERTO PEÑASCO,SON.,06/09/2003,17.9799995422,MARCO ANTONIO RODRIGUEZ HERRERA,CAS,TRO, , , , , , , ,10/08/2003,10/07/2009, , ,VIGENTE, , ,18.1454771523,2.7990075616
24,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28052,238108, , , ,EXPLOR.,34287,82,PINA 5 FRACC. 1,PUERTO PEÑASCO,SON.,09/30/2010,100,ALFONSO DACO CALONZO,Ag,Pb,Cu,TSP, , , , , ,07/20/2011,07/19/2061, , ,VIGENTE, , ,100.948242433,82.0727989026
25,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28054,238110, , , ,EXPLOR.,34287,82,PINA 5 FRACC. 3,PUERTO PEÑASCO,SON.,09/30/2010,0.7949000001,ALFONSO DACO CALONZO,Ag,Pb,Cu,TSP, , , , , ,07/20/2011,07/19/2061, , ,VIGENTE, , ,0.8023117757,0.5084756861
26,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28175,238183, , , ,EXPLOR.,34505,82,ALEX FRACC. 4,PUERTO PEÑASCO,SON.,09/30/2010,80,"INDUSTRIAL MINERA DEL DORADO, S.A. DE C.V.", ,TUN,TSP, , , , , , ,08/12/2011,08/11/2061, , ,VIGENTE, , ,80.7540815637,33.8604208612
27,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28417,238492, , , ,EXPLOR.,34505,82,ALEX FRACCION 1,PUERTO PEÑASCO,SON.,09/30/2010,330.1000061035,"INDUSTRIAL MINERA DEL DORADO, S.A. DE C.V.", ,TUN,TSP, , , , , , ,09/23/2011,09/22/2061, , ,VIGENTE, , ,333.146608477,197.8906553265
28,35, ,Federal,,El Pinacate y Gran Desierto de Altar,Zona Nucleo,El Pinacate y Gran Desierto de Altar & ZN I Sierra El Pinacate y Bahia de Adair,ZN I Sierra El Pinacate y Bahia de Adair,RB,6/10/1993,Sonora,General Plutarco Elías Calles y Puerto Peñasco,Ia,CONANP,228112.75,230039.301,0,0,230039.30123,28419,238494, , , ,EXPLOR.,34505,82,ALEX FRACCION 3,PUERTO PEÑASCO,SON.,09/30/2010,93.2099990845,"INDUSTRIAL MINERA DEL DORADO, S.A. DE C.V.", ,TUN,TSP, , , , , , ,09/23/2011,09/22/2061, , ,VIGENTE, , ,94.0855063508,16.6094551407
29,44, ,Federal,,Sierra Gorda,Zona Nucleo,Sierra Gorda & Zona Nucleo X Cerro Grande,Zona Nucleo X Cerro Grande,RB,5/19/1997,Queretaro,Pinal de Amoles,Ia,CONANP,399.7375,396.385,0,0,396.385399166,26815,236757, , , ,EXPLOR.,15622,65,LA DIVINA PROVIDENCIA,PINAL DE AMOLES,QRO.,05/04/2010,48,JULIO CESAR CORDERO LOPEZ,POT,Hg,TSP, , , , , , ,08/27/2010,08/26/2060, , ,VIGENTE, , ,47.566479268,7.0887657941
30,44, ,Federal,,Sierra Gorda,Zona Nucleo,Sierra Gorda & Zona Nucleo X Cerro Grande,Zona Nucleo X Cerro Grande,RB,5/19/1997,Queretaro,Pinal de Amoles,Ia,CONANP,399.7375,396.385,0,0,396.385399166,26825,236792, , , ,EXPLOR.,15631,65,LOS SANTOS,PINAL DE AMOLES,QRO.,06/28/2010,80,J. ALFREDO ARTEAGA TREJO,POT,Hg,TSP, , , , , , ,08/31/2010,08/30/2060, , ,VIGENTE, , ,79.2804739772,0.6356333564
31,44, ,Federal,,Sierra Gorda,Zona Nucleo,Sierra Gorda & Zona Nucleo X Cerro Grande,Zona Nucleo X Cerro Grande,RB,5/19/1997,Queretaro,Pinal de Amoles,Ia,CONANP,399.7375,396.385,0,0,396.385399166,27540,237498, , , ,EXPLOR.,15636,65,SAN JOSE,PINAL DE AMOLES,QRO.,09/06/2010,100.5,J. ALFREDO ARTEAGA TREJO Y SOCIOS,Au,Ag,Pb,Hg, , , , , ,12/21/2010,12/20/2060, , ,VIGENTE, , ,208.11268379,12.0409884476
32,45, ,Federal,,Sierra Gorda,Zona Nucleo,Sierra Gorda & Zona Nucleo XI Mazatiapan,Zona Nucleo XI Mazatiapan,RB,5/19/1997,Queretaro,Pinal de Amoles,Ia,CONANP,1734.13,1719.544,0,0,1719.54360343,582,231046, , , ,EXPLOR.,15525,65,LA FORTUNA,PINAL DE AMOLES,QRO.,09/10/2007,200,ROBERTO RAMIREZ VELAZQUEZ Y SOCIOS,Au,Ag,Zn,Cu,Sb,TSP, , , ,11/30/2007,11/29/2057, , ,VIGENTE, , ,198.20809918,0.6872679687
33,45, ,Federal,,Sierra Gorda,Zona Nucleo,Sierra Gorda & Zona Nucleo XI Mazatiapan,Zona Nucleo XI Mazatiapan,RB,5/19/1997,Queretaro,Pinal de Amoles,Ia,CONANP,1734.13,1719.544,0,0,1719.54360343,749,228293, , , ,EXPLOR.,15499,65,EL PORVENIR,PINAL DE AMOLES,QRO.,08/16/2006,49,SALVADOR RAMIREZ VELAZQUEZ Y SOCIOS,Au,Sb,Ag,Cu,Hg,TSP, , , ,10/27/2006,10/26/2056, , ,VIGENTE, , ,48.5599844125,12.2726449131
34,45, ,Federal,,Sierra Gorda,Zona Nucleo,Sierra Gorda & Zona Nucleo XI Mazatiapan,Zona Nucleo XI Mazatiapan,RB,5/19/1997,Queretaro,Pinal de Amoles,Ia,CONANP,1734.13,1719.544,0,0,1719.54360343,26816,236758, , , ,EXPLOR.,15623,65,AURORA,PINAL DE AMOLES,QRO.,05/04/2010,48,JULIO CESAR CORDERO LOPEZ,Au,Ag,Pb,Hg,Zn,TSP, , , ,08/27/2010,08/26/2060, , ,VIGENTE, , ,47.5669495359,17.6968176624
35,51, ,Federal,,Ria Lagartos,Zona Nucleo,Ria Lagartos & Zona Nucleo 6 Cancunito-Holchit,Zona Nucleo 6 Cancunito-Holchit,RB,5/21/1999,Yucatan,Río Lagartos,Ia,CONANP,1680.9808,1665.542,0,0,1665.54203684,8589,196676, , ,163613,EXPLOT.,321.4/5297,94,ISYSA UNO,RIO LAGARTOS,YUC.,09/25/1992,450,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/06/1993,10/29/2028, , ,VIGENTE, , ,445.621476474,310.8141594704
36,51, ,Federal,,Ria Lagartos,Zona Nucleo,Ria Lagartos & Zona Nucleo 6 Cancunito-Holchit,Zona Nucleo 6 Cancunito-Holchit,RB,5/21/1999,Yucatan,Río Lagartos,Ia,CONANP,1680.9808,1665.542,0,0,1665.54203684,8591,196678, , ,163614,EXPLOT.,321.4/5298,94,ISYSA DOS,RIO LAGARTOS,YUC.,09/25/1992,450,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/06/1993,10/29/2028, , ,VIGENTE, , ,445.628119895,95.636608999
37,52, ,Federal,,Ria Lagartos,Zona Nucleo,Ria Lagartos & Zona Nucleo 2 Tular-Petenes,Zona Nucleo 2 Tular-Petenes,RB,5/21/1999,Yucatan,Río Lagartos,Ia,CONANP,2090.1257,2070.667,0,0,2070.66706036,8589,196676, , ,163613,EXPLOT.,321.4/5297,94,ISYSA UNO,RIO LAGARTOS,YUC.,09/25/1992,450,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/06/1993,10/29/2028, , ,VIGENTE, , ,445.621476474,54.0698376274
38,52, ,Federal,,Ria Lagartos,Zona Nucleo,Ria Lagartos & Zona Nucleo 2 Tular-Petenes,Zona Nucleo 2 Tular-Petenes,RB,5/21/1999,Yucatan,Río Lagartos,Ia,CONANP,2090.1257,2070.667,0,0,2070.66706036,14614,210620, , , ,EXPLOR.,0002,113,ISYSA 10,RIO LAGARTOS,YUC.,03/12/1998,1528,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,10/29/1999,10/28/2005, , ,VIGENTE, , ,1512.71470725,39.7080095943
39,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,5501,209550, , ,197149,EXPLOT.,5/1.3/230,94,ISYSA CATORCE,RIO LAGARTOS,YUC.,12/04/1996,160,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/03/1999,08/02/2049, , ,VIGENTE, , ,158.449950887,39.2283946505
40,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,5502,209549, , ,197148,EXPLOT.,5/1.3/229,94,ISYSA TRECE,RIO LAGARTOS,YUC.,12/04/1996,375,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/03/1999,08/02/2049, , ,VIGENTE, , ,371.367042665,371.25439256
41,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,5503,209548, , ,197147,EXPLOT.,5/1.3/228,94,ISYSA DOCE,RIO LAGARTOS,YUC.,12/04/1996,375,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/03/1999,08/02/2049, , ,VIGENTE, , ,371.359015926,278.8759920845
42,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,8587,196655, , ,164580,EXPLOT.,321.4/5328,94,GEMINIS,TIZIMIN,YUC.,03/29/1993,110,JOSE ALVAREZ GUERRERO,SAL, , , , , , , , ,08/06/1993,05/17/2029, , ,VIGENTE, , ,108.941378129,44.7768885758
43,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,8594,196681, , ,163618,EXPLOT.,321.4/5305,94,ISYSA NUEVE,RIO LAGARTOS,YUC.,09/25/1992,301.200012207,"INDUSTRIA SALINERA DE YUCATAN, S.A.",SAL, , , , , , , , ,08/06/1993,10/29/2028, , ,VIGENTE, , ,298.265491581,19.9545012153
44,53, ,Federal,,Ria Lagartos,Zona Nucleo,"Ria Lagartos & Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar","Zona Nucleo 3 Petentucha, Emmaly, Lagunas Miramar",RB,5/21/1999,Yucatan,Río Lagartos y Tizimín,Ia,CONANP,8745.3871,8665.511,0,0,8665.51145105,8595,196717, , ,171979,EXPLOT.,321.4/5317,94,ESMERALDA,TIZIMIN,YUC.,09/25/1992,40,JOSE ALVAREZ GUERRERO,SAL, , , , , , , , ,08/06/1993,09/20/2033, , ,VIGENTE, , ,39.615565912,11.2619977502
