CLAVE,CAT_MANEJO,NOM_ANP,TIPO_POL,NOM_POLIG,FEC_DECRET,ESTADO,MUNICIPIO,CAT_UICN,FUENTE,SUP_DECRE,HECTARES,SUPTER_CAL,SUPMAR_CAL,Has_Ramsar,FID_Concesiones_mineras_Agosto_2012,TITULO,IDENTICO,TITU_DERIV,TITULO_ANT,CLASE,EXPEDIENTE,AGENCIA,NOMBRELOTE,MUNICIPIO_1,ESTAMU,FECHA_SOL,SUPERFICIE,TITULAR,SUST1,SUST2,SUST3,SUST4,SUST5,SUST6,SUST7,SUST8,SUST9,EXPEDICION,VIGENCIA,ISLA,OBSERVA,CONDICION,TIPO_CAN,FECHA_OF,HECTAREAS
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,27041,237040,,,,EXPLOR.,295,102,SOL Y SAL DE COLIMA,ARMERIA,COL.,04/07/2008,4.431,TELESFORO RAMIREZ MONTES Y SOCIOS,SAL,,,,,,,,,10/19/2010,10/18/2060,,,VIGENTE,,,4.4104516805
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,27522,237537,,,,EXPLOR.,416,102,AMPLIACION DE COSTA RICA,MANZANILLO,COL.,06/24/2010,185.9,JAVIER VEGA AVALOS,SAL,,,,,,,,,12/21/2010,12/20/2060,,,VIGENTE,,,185.028437021
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,28521,238509,,,,EXPLOR.,365,102,TANCITARO FRACC. II,ARMERIA,COL.,09/08/2008,132.4,CLAUDIO JESUS RUIZ TORRES Y SOCIOS,Cu,TSP,,,,,,,,09/23/2011,09/22/2061,,,VIGENTE,,,131.849407709
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,29060,239179,,,,EXPLOR.,491,102,LA REINA DE LA SAL,MANZANILLO,COL.,02/24/2011,36.86,MARTIN RODRIGUEZ CARRILLO,SAL,TSP,,,,,,,,11/30/2011,11/29/2061,,,VIGENTE,,,36.680859483
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,29607,239599,,,,EXPLOR.,489,102,EL PORVENIR,MANZANILLO,COL.,01/21/2011,3374,JOSE ISRAEL RUIZ ALEMAN,Fe,SAL,,,,,,,,01/31/2012,01/30/2062,,,VIGENTE,,,3357.70297282
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,29808,239810,,,,EXPLOR.,519,102,S. DE CUYUTLAN,ARMERIA,COL.,08/16/2011,77.64,LUIS CARLOS ALVAREZ VAZQUEZ,SAL,TSP,,,,,,,,02/28/2012,02/27/2062,,,VIGENTE,,,77.2797282362
No ANP,No. 1985 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,40576,Colima,"Manzanillo, Armería",n/a,"CONANP Pagina WEB, Septiembre 2011",4051,8820.19137,0,0,8820.19136616,30875,240900,,,,EXPLOR.,102/00559,102,SOLYSAL,MANZANILLO,COL.,01/04/2012,216,TELESFORO RAMIREZ MONTES Y SOCIOS,SAL,,,,,,,,,07/27/2012,07/26/2062,,,VIGENTE,,,214.986309683
Federal,No. 1822 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP y RB Alto Golfo de California y Delta del Rio Colorado,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,39480,Baja California,Mexicali y San Luis Rio Colorado,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",127614,130619.74994,0,0,130619.74994,5462,232261,,,,EXPLOR.,6997,2,MARGARITA,MEXICALI,B.C.,04/07/2008,5000,EDUARDO JORGE OVIEDO MEDINA,Mg,Li,,,,,,,,07/16/2008,07/15/2058,,,VIGENTE,,,5067.98693666
Federal,No. 1822 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP y RB Alto Golfo de California y Delta del Rio Colorado,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,39480,Baja California,Mexicali y San Luis Rio Colorado,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",127614,130619.74994,0,0,130619.74994,26055,236025,,,,EXPLOR.,7412,2,SAN ANDRES,MEXICALI,B.C.,12/09/2009,2400,JULIO ALFONSO LOPEZ LOPEZ,POT,Li,,,,,,,,05/04/2010,05/03/2060,,,VIGENTE,,,2432.19958614
Federal,No. 1822 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP y RB Alto Golfo de California y Delta del Rio Colorado,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,39480,Baja California,Mexicali y San Luis Rio Colorado,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",127614,130619.74994,0,0,130619.74994,26056,236026,,,,EXPLOR.,7413,2,LUISA FERNANDA,MEXICALI,B.C.,12/09/2009,2365,JULIO ALFONSO LOPEZ LOPEZ,POT,Li,TSP,,,,,,,05/04/2010,05/03/2060,,,VIGENTE,,,2399.69787781
Federal,No. 1822 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP y RB Alto Golfo de California y Delta del Rio Colorado,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,39480,Baja California,Mexicali y San Luis Rio Colorado,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",127614,130619.74994,0,0,130619.74994,29214,239351,,,,EXPLOR.,7619,2,MINA NUEVO RIO,MEXICALI,B.C.,03/25/2011,18910,JULIO CESAR GARIBAY OSUNA,Au,Ag,Pd,CUA,TSP,,,,,12/13/2011,12/12/2061,,,VIGENTE,,,19159.8383546
Federal,No. 1822 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,No ANP y RB Alto Golfo de California y Delta del Rio Colorado,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,39480,Baja California,Mexicali y San Luis Rio Colorado,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",127614,130619.74994,0,0,130619.74994,29691,239891,,,,EXPLOR.,7659,2,PUEBLO I,MEXICALI,B.C.,10/17/2011,62590,"PUEBLO MINING COMPANY PMC, S. DE R.L. DE C.V.",Au,Ag,Pb,Cu,Li,TSP,,,,03/01/2012,02/28/2062,,,VIGENTE,,,63419.5951118
Federal,No. 814 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,"No ANP y RB Alto Golfo de California, Delta del Rio Colorado",Poligono envolvente,Laguna de Cuyutlán vasos III y IV,35144,Baja California Sur,Baja California: Mexicali; Sonora: San Luis Río Color,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",250000,320550.1599,0,0,320550.159896,14545,220483,,,204953,EXPLOT.,4/1/2474,2,SALINA SAN FELIPE,MEXICALI,B.C.,05/26/2003,500,ANDRES MARTINEZ ROJO,,,,,,,,,,08/12/2003,08/11/2053,,,VIGENTE,,,504.20723392
Federal,No. 814 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,"No ANP y RB Alto Golfo de California, Delta del Rio Colorado",Poligono envolvente,Laguna de Cuyutlán vasos III y IV,35144,Baja California Sur,Baja California: Mexicali; Sonora: San Luis Río Color,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",250000,320550.1599,0,0,320550.159896,14563,198810,,,177417,EXPLOT.,321.4/5569,78,CAMALEON I,SAN LUIS RIO COLORADO,SON.,09/25/1992,328,ARMANDO COVARRUBIAS RUBIO,SAL,,,,,,,,,12/30/1993,12/29/2043,,,VIGENTE,,,331.644458192
Federal,No. 814 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,"No ANP y RB Alto Golfo de California, Delta del Rio Colorado",Poligono envolvente,Laguna de Cuyutlán vasos III y IV,35144,Baja California Sur,Baja California: Mexicali; Sonora: San Luis Río Color,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",250000,320550.1599,0,0,320550.159896,14564,198815,,,177778,EXPLOT.,321.4/5568,78,CAMALEON II,SAN LUIS RIO COLORADO,SON.,09/25/1992,347.4,ARMANDO COVARRUBIAS RUBIO,SAL,,,,,,,,,12/30/1993,12/29/2043,,,VIGENTE,,,351.27021775
Federal,No. 814 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,"No ANP y RB Alto Golfo de California, Delta del Rio Colorado",Poligono envolvente,Laguna de Cuyutlán vasos III y IV,35144,Baja California Sur,Baja California: Mexicali; Sonora: San Luis Río Color,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",250000,320550.1599,0,0,320550.159896,18389,217361,,,,EXPLOR.,6707,2,SALINAS DE BAJA CALIFORNIA,MEXICALI,B.C.,04/05/2002,2851,EJIDO INDUSTRIAL AÑO DE JUAREZ 1972,SAL,,,,,,,,,07/09/2002,07/08/2008,,,VIGENTE,,,2874.12500895
Federal,No. 814 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,"No ANP y RB Alto Golfo de California, Delta del Rio Colorado",Poligono envolvente,Laguna de Cuyutlán vasos III y IV,35144,Baja California Sur,Baja California: Mexicali; Sonora: San Luis Río Color,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",250000,320550.1599,0,0,320550.159896,24288,234326,,,202136,D-EXPLOT,4/3/193,2,SAN FELIPE 18 - 2,MEXICALI,B.C.,02/20/2009,4932,"MINERA MARIA, S.A. DE C.V.",Au,Ag,Zn,Pb,,,,,,06/12/2009,10/25/2045,,,VIGENTE,,,4982.42272485
Federal,No. 814 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,"No ANP y RB Alto Golfo de California, Delta del Rio Colorado",Poligono envolvente,Laguna de Cuyutlán vasos III y IV,35144,Baja California Sur,Baja California: Mexicali; Sonora: San Luis Río Color,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",250000,320550.1599,0,0,320550.159896,24299,234429,,,215723,D-EXPLOT,4/3/192,2,SAN FELIPE 19 - 1,MEXICALI,B.C.,02/20/2009,3973,"MINERA MARIA, S.A. DE C.V.",Au,Ag,TSP,,,,,,,06/26/2009,03/11/2052,,,VIGENTE,,,4014.18607558
Federal,No. 814 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,"No ANP y RB Alto Golfo de California, Delta del Rio Colorado",Poligono envolvente,Laguna de Cuyutlán vasos III y IV,35144,Baja California Sur,Baja California: Mexicali; Sonora: San Luis Río Color,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",250000,320550.1599,0,0,320550.159896,28153,238323,,,,EXPLOR.,7545,2,LA ANTENA,MEXICALI,B.C.,11/26/2010,36.57,"MINERA REAL DE ANGELES, S.A. DE C.V.",POT,TSP,,,,,,,,08/30/2011,08/29/2061,,,VIGENTE,,,36.9267541674
Federal,No. 814 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,"No ANP y RB Alto Golfo de California, Delta del Rio Colorado",Poligono envolvente,Laguna de Cuyutlán vasos III y IV,35144,Baja California Sur,Baja California: Mexicali; Sonora: San Luis Río Color,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",250000,320550.1599,0,0,320550.159896,28841,239082,,,,EXPLOR.,7613,2,MAR DE CORTEZ II,MEXICALI,B.C.,03/11/2011,2275,EJIDO INDUSTRIAL AÑO DE JUAREZ 1972 SBC,SAL,,,,,,,,,11/25/2011,11/24/2061,,,VIGENTE,,,2294.37257478
Federal,No. 814 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,"No ANP y RB Alto Golfo de California, Delta del Rio Colorado",Poligono envolvente,Laguna de Cuyutlán vasos III y IV,35144,Baja California Sur,Baja California: Mexicali; Sonora: San Luis Río Color,"Ia, VI","CONANP Pagina WEB, Septiembre 2011",250000,320550.1599,0,0,320550.159896,29214,239351,,,,EXPLOR.,7619,2,MINA NUEVO RIO,MEXICALI,B.C.,03/25/2011,18910,JULIO CESAR GARIBAY OSUNA,Au,Ag,Pd,CUA,TSP,,,,,12/13/2011,12/12/2061,,,VIGENTE,,,19159.8383546
Federal,No. 1866 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,RB Alto Golfo de California y Delta del Rio Colorado,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,39846,Sonora,"San Luis Río Colorado, Puerto Peñasco","Ia, VI","CONANP Pagina WEB, Septiembre 2011",42430,42773.05374,0,0,42773.053742,4780,229408,,,,EXPLOR.,30893,82,MARIA DEL CARMEN,PUERTO PEÑASCO,SON.,02/12/2007,138,FRANCISCO ISRAEL QUIJADA IBARRA Y SOCIOS,POT,TRO,TSP,,,,,,,04/17/2007,04/16/2057,,,VIGENTE,,,139.352862004
Federal,No. 1866 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,RB Alto Golfo de California y Delta del Rio Colorado,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,39846,Sonora,"San Luis Río Colorado, Puerto Peñasco","Ia, VI","CONANP Pagina WEB, Septiembre 2011",42430,42773.05374,0,0,42773.053742,5130,227280,,,,EXPLOR.,30194,82,CARLOS,PUERTO PEÑASCO,SON.,01/27/2006,20,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP,,,,,,,,06/02/2006,06/01/2056,,,VIGENTE,,,20.1888333474
Federal,No. 1866 Humedal designado a la lista de Humedales de Importancia Internacional de Ramsar,RB Alto Golfo de California y Delta del Rio Colorado,Poligono envolvente,Laguna de Cuyutlán vasos III y IV,39846,Sonora,"San Luis Río Colorado, Puerto Peñasco","Ia, VI","CONANP Pagina WEB, Septiembre 2011",42430,42773.05374,0,0,42773.053742,13707,220977,,,205449,EXPLOT.,4/1/2518,78,SALINAS DE ADAIR,PUERTO PEÑASCO,SON.,08/15/2003,1000,"INDUSTRIA DEL ALCALI, S.A. DE C.V.",CAS,,,,,,,,,11/11/2003,11/10/2053,,,VIGENTE,,,1009.32058003
