NOMBRE,CAT_DECRET,CAT_MANEJO,ULT_DECRET,ESTADOS,MUNICIPIOS,REGION,ID_ANP,SUPERFICIE,S_TERRES,S_MARINA,TITULO,IDENTICO,TITU_DERIV,TITULO_ANT,CLASE,EXPEDIENTE,AGENCIA,NOMBRELOTE,MUNICIPIO,ESTAMU,FECHA_SOL,SUPERFICIE_1,TITULAR,SUST1,SUST2,SUST3,SUST4,SUST5,SUST6,SUST7,SUST8,SUST9,EXPEDICION,VIGENCIA,ISLA,OBSERVA,CONDICION,TIPO_CAN,FECHA_OF,Superficie total de concesión,Superficie intersección ANP
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,185595, , ,173476,EXPLOT.,321.1/4-402,78,SAN FRANCISCO I,PUERTO PEÑASCO,SON.,12/11/1987,40,JOSE DORAME RAMIREZ Y SOC.,SUD, , , , , , , , ,12/14/1989,12/13/2039, , ,VIGENTE, , ,40.3589965336,40.3583804061
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,197167, , ,194622,EXPLOT.,321.4/5903,78,SAN FRANCISCO,PUERTO PEÑASCO,SON.,07/12/1989,60,RAMON CASTAÑARES GARCIA Y SOC.,TRO, , , , , , , , ,08/27/1993,05/06/2042, , ,CANCELADO,PD,11/16/2011,60.5275994284,47.9222825844
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,197166, , ,194621,EXPLOT.,321.4/5902,78,SAN FRANCISCO I,PUERTO PEÑASCO,SON.,04/06/1993,148,JOSE DORAME RAMIREZ Y SOC.,TRO, , , , , , , , ,08/27/1993,08/26/2042, , ,VIGENTE, , ,149.32861411,149.3070129511
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,197116, , ,193129,EXPLOT.,321.4/5920,2,SALINAS DE BAJA CALIFORNIA,MEXICALI,B.C.,09/25/1992,468,EJIDO INDUSTRIAL AÑO DE JUAREZ 1972,SAL, , , , , , , , ,08/27/1993,08/26/2043, , ,VIGENTE, , ,471.891283536,315.2162503981
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,220483, , ,204953,EXPLOT.,4/1/2474,2,SALINA SAN FELIPE,MEXICALI,B.C.,05/26/2003,500,ANDRES MARTINEZ ROJO, , , , , , , , , ,08/12/2003,08/11/2053, , ,VIGENTE, , ,504.20723392,503.4805802435
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,218684, , ,202062,EXPLOT.,4/1.3/2414,78,LOS TATOS,PUERTO PEÑASCO,SON.,01/17/2002,725,JESUS PEDRO VILLAGRAN OCHOA Y SOC.,SAL, , , , , , , , ,12/10/2002,12/09/2052, , ,VIGENTE, , ,797.95664909,731.1956317718
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,198810, , ,177417,EXPLOT.,321.4/5569,78,CAMALEON I,SAN LUIS RIO COLORADO,SON.,09/25/1992,328,ARMANDO COVARRUBIAS RUBIO,SAL, , , , , , , , ,12/30/1993,12/29/2043, , ,VIGENTE, , ,331.644458192,331.648436129
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,198815, , ,177778,EXPLOT.,321.4/5568,78,CAMALEON II,SAN LUIS RIO COLORADO,SON.,09/25/1992,347.3999938965,ARMANDO COVARRUBIAS RUBIO,SAL, , , , , , , , ,12/30/1993,12/29/2043, , ,VIGENTE, , ,351.27021775,351.2744442729
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,205511, , ,196821,EXPLOT.,4/1.3/1340,2,SALINAS DE OMETEPEC,MEXICALI,B.C.,07/22/1996,300,MARIA TERESA ARTHUR VDA. DE MESTAS,SAL, , , , , , , , ,09/18/1997,09/17/2047, , ,VIGENTE, , ,302.492749825,302.4952486031
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,225425, , , ,EXPLOR.,29645,82,UNION 2,PUERTO PEÑASCO,SON.,05/19/2005,260,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,09/06/2005,09/05/2011, , ,VIGENTE, , ,262.43499842,140.5308500889
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,225426, , , ,EXPLOR.,29647,82,UNION 1,PUERTO PEÑASCO,SON.,05/19/2005,100,CARLOS ALBERTO SANDOVAL OSEGUERA,TRO,TSP, , , , , , , ,09/06/2005,09/05/2011, , ,VIGENTE, , ,100.936849029,23.0975580528
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,223245, , , ,EXPLOR.,29023,82,BORNO II,PUERTO PEÑASCO,SON.,09/23/2004,195,NORHA REBECA LEMAS PEREZ,SAL, , , , , , , , ,11/17/2004,11/16/2010, , ,VIGENTE, , ,196.873544416,196.871334034
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,221279, , , ,EXPLOR.,28632,82,SEIS AÑOS,PUERTO PEÑASCO,SON.,08/29/2003,100,RAUL FERNANDO LEMAS POMPA,YES,SAG,TRO, , , , , , ,01/16/2004,01/15/2010, , ,VIGENTE, , ,100.942476244,100.9437300382
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,221283, , , ,EXPLOR.,28646,82,BORNO,PUERTO PEÑASCO,SON.,09/23/2003,150,NORHA REBECA LEMAS PEREZ,Au,Ag,Pb,Cu,Zn, , , , ,01/16/2004,01/15/2010, , ,VIGENTE, , ,151.403619847,151.4008310321
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,220811, , , ,EXPLOR.,28563,82,UNION FRACCION A,PUERTO PEÑASCO,SON.,06/09/2003,36.2200012207,MARCO ANTONIO RODRIGUEZ HERRERA,CAS,TRO, , , , , , , ,10/08/2003,10/07/2009, , ,VIGENTE, , ,36.5513322034,32.8343191565
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,220812, , , ,EXPLOR.,28563,82,UNION FRACCION B,PUERTO PEÑASCO,SON.,06/09/2003,17.9799995422,MARCO ANTONIO RODRIGUEZ HERRERA,CAS,TRO, , , , , , , ,10/08/2003,10/07/2009, , ,VIGENTE, , ,18.1454771523,14.8871347157
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,215705, , ,213729,R-EXPLOR,4/2.4/2400,82,KARLA,PUERTO PEÑASCO,SON.,11/16/2001,2517,"MINERA MGM, S.A. DE C.V.",TRO,BOR,SUL, , , , , , ,03/05/2002,06/11/2007, ,CANCELADO EN PROCESO DE PUB. LIB. DE TERR.,CANCELADO,PD, ,2539.3014297,2503.9272718131
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,209017, , , ,EXPLOR.,19752,82,ARELY 1,PUERTO PEÑASCO,SON.,05/02/1997,327,"MINERA DE ADAIR, S.A. DE C.V.", , , , , , , , , ,02/23/1999,02/22/2005, ,CANCELADO EN PROCESO DE PUB. LIB. DE TERR.,CANCELADO, , ,330.034834242,307.1356141629
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,223241, , , ,EXPLOR.,29017,82,LOS RAULES FRACCION I,PUERTO PEÑASCO,SON.,09/10/2004,302.700012207,RAUL ELIAS FAVELA Y SOCS.,SAL, , , , , , , , ,11/17/2004,11/16/2010, , ,VIGENTE, , ,305.451777107,305.4500242098
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,223242, , , ,EXPLOR.,29017,82,LOS RAULES FRACCION II,PUERTO PEÑASCO,SON.,09/10/2004,10,RAUL ELIAS FAVELA Y SOCS.,SAL, , , , , , , , ,11/17/2004,11/16/2010, , ,VIGENTE, , ,10.0890024592,9.0694066255
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,223243, , , ,EXPLOR.,29017,82,LOS RAULES FRACCION III,PUERTO PEÑASCO,SON.,09/10/2004,0.1527999938,RAUL ELIAS FAVELA Y SOCS.,SAL, , , , , , , , ,11/17/2004,11/16/2010, , ,VIGENTE, , ,0.1541546449,0.038599752
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,222988, , , ,EXPLOR.,28944,82,CLEOPATRA,PUERTO PEÑASCO,SON.,05/26/2004,154,MARIO MUNGUIA GRIJALVA Y SOC.,SAL, , , , , , , , ,09/30/2004,09/29/2010, , ,VIGENTE, , ,155.364852459,154.2253182775
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,219232, , , ,EXPLOR.,6735,2,PEDREGAL,MEXICALI,B.C.,10/24/2002,89,"PEDREGAL PIEDRAS ESPECIALES, S.A. DE C.V.",Au,Ag,Pb,Cu,Zn,FEL,PER, , ,02/20/2003,02/19/2009, ,CANCELADO EN PROCESO DE PUB. LIB. DE TERR.,CANCELADO,PD, ,89.8731877377,83.5276112119
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,217361, , , ,EXPLOR.,6707,2,SALINAS DE BAJA CALIFORNIA,MEXICALI,B.C.,04/05/2002,2851,EJIDO INDUSTRIAL AÑO DE JUAREZ 1972,SAL, , , , , , , , ,07/09/2002,07/08/2008, , ,VIGENTE, , ,2874.12500895,2717.3451529403
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,213773, , , ,EXPLOR.,6641,2,SALINA SAN FELIPE 2,MEXICALI,B.C.,10/25/2000,100,ANDRES MARTINEZ ROJO,SAL, , , , , , , , ,06/15/2001,06/14/2007, , ,VIGENTE, , ,100.823267498,100.3981812431
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,220729, , , ,EXPLOR.,28594,82,PINACATE 3,PUERTO PEÑASCO,SON.,06/16/2003,115.5,MARCO ANTONIO RODRIGUEZ HERRERA,CAS,TRO, , , , , , , ,09/30/2003,09/29/2009, , ,VIGENTE, , ,116.548542245,116.5340636403
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,223240, , , ,EXPLOR.,29016,82,EL PELICANO,PUERTO PEÑASCO,SON.,09/10/2004,41.9300003052,RAUL ELIAS FAVELA Y SOCS.,SAL, , , , , , , , ,11/17/2004,11/16/2010, , ,VIGENTE, , ,42.29540121,42.1049008597
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,234326, , ,202136,D-EXPLOT,4/3/193,2,SAN FELIPE 18 - 2,MEXICALI,B.C.,02/20/2009,4932,"MINERA MARIA, S.A. DE C.V.",Au,Ag,Zn,Pb, , , , , ,06/12/2009,10/25/2045, , ,VIGENTE, , ,4982.42272485,12.1692172669
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,234429, , ,215723,D-EXPLOT,4/3/192,2,SAN FELIPE 19 - 1,MEXICALI,B.C.,02/20/2009,3973,"MINERA MARIA, S.A. DE C.V.",Au,Ag,TSP, , , , , , ,06/26/2009,03/11/2052, , ,VIGENTE, , ,4014.18607558,13.4887674504
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,234430, , ,215723,D-EXPLOT,4/3/192,2,SAN FELIPE 19 - 2,MEXICALI,B.C.,02/20/2009,2603,"MINERA MARIA, S.A. DE C.V.",Au,Ag,TSP, , , , , , ,06/26/2009,03/11/2052, , ,VIGENTE, , ,2627.42605482,43.5128300816
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,234431, , ,215723,D-EXPLOT,4/3/192,2,SAN FELIPE 19 - 3,MEXICALI,B.C.,02/20/2009,4366,"MINERA MARIA, S.A. DE C.V.",Au,Ag,TSP, , , , , , ,06/26/2009,03/11/2052, , ,VIGENTE, , ,4404.83247817,109.1879999835
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,234438, , ,215623,D-EXPLOT,4/3/194,2,SAN FELIPE 20 - 7,MEXICALI,B.C.,02/20/2009,4934,"MINERA MARIA, S.A. DE C.V.",Au,Ag, , , , , , , ,06/26/2009,03/04/2052, , ,VIGENTE, , ,4969.14125437,12.8742162305
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,236160, , ,205372,R-EXPLOT,4/2/262,82,LA GAVIOTA REDUCCION,PUERTO PEÑASCO,SON.,04/12/2010,25,"MINERA DE ADAIR, S.A. DE C.V.",TRO, , , , , , , , ,05/14/2010,08/07/2047, , ,CANCELADO,PD,08/25/2011,25.2299323199,21.9906787938
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,237942, , , ,EXPLOR.,34290,82,PINA 2,PUERTO PEÑASCO,SON.,09/30/2010,100,ALFONSO DACO CALONZO,Ag,Pb,Cu,TSP, , , , , ,06/30/2011,06/29/2061, , ,VIGENTE, , ,100.922120103,99.9187118348
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,238107, , , ,EXPLOR.,34285,82,PINA 1,PUERTO PEÑASCO,SON.,09/30/2010,100,ALFONSO DACO CALONZO,Ag,Pb,Cu,TSP, , , , , ,07/20/2011,07/19/2061, , ,VIGENTE, , ,100.926758985,99.8962722991
ALTO GOLFO DE CALIFORNIA Y DELTA DEL RIO COLORADO,RB,RB,6/10/1993,B. C. Y SONORA,"BAJA CALIFORNIA: MEXICALI, SONORA: PUERTO PENASCO Y SAN LUIS RIO COLORADO",Noroeste y Alto Golfo de California,63,934756.25,407147.54559,527608.70441,238108, , , ,EXPLOR.,34287,82,PINA 5 FRACC. 1,PUERTO PEÑASCO,SON.,09/30/2010,100,ALFONSO DACO CALONZO,Ag,Pb,Cu,TSP, , , , , ,07/20/2011,07/19/2061, , ,VIGENTE, , ,100.948242433,16.230045905
