CLIENTE,EDO,FOLIO,PRODUCTO,TONS,MONTO,
doña licha spr de ri,sonora,260590401,trigo,544,219339.33,CALL
reynaldo urrea ayala,sonora,260590419,trigo,408,164504.5,CALL
reynaldo urrea ayala,sonora,260590419,trigo,136,54834.83,CALL
familia leal gamez spr de ri,sonora,260590427,trigo,408,164504.5,CALL
familia leal gamez spr de ri,sonora,260590427,trigo,136,54834.83,CALL
agropecuaria mayobampo spr de rl,sonora,260590435,trigo,953,383843.83,CALL
agropecuaria mayobampo spr de rl,sonora,260590435,trigo,136,54834.83,CALL
agropecuaria oms spr de rl,sonora,260590443,trigo,1089,438678.66,CALL
agropecuaria oms spr de rl,sonora,260590443,trigo,136,54834.83,CALL
agricola millanes spr de ri,sonora,260590450,trigo,1089,438678.66,CALL
agricola millanes spr de ri,sonora,260590450,trigo,272,109669.66,CALL
pilfo spr de rl,sonora,260590468,trigo,136,54834.83,CALL
alvarez parecari spr de rl,sonora,260590476,trigo,1905,757225.27,CALL
agricola carlos robles spr de ri,sonora,260590484,trigo,1905,757225.27,CALL
agricola carlos robles spr de ri,sonora,260590484,trigo,136,54087.52,CALL
agropecuaria fuerte mayo jage spr de ri,sonora,260590492,trigo,272,108175.04,CALL
agropecuaria fuerte mayo jage spr de ri,sonora,260590492,trigo,1497,594962.71,CALL
agropecuaria fuerte mayo jage spr de ri,sonora,260590492,trigo,272,108175.04,CALL
agropecuaria fuerte mayo jage spr de ri,sonora,260590492,trigo,680,270437.6,CALL
brigido morales acedo,sonora,260590518,trigo,408,162262.56,CALL
brigido morales acedo,sonora,260590518,trigo,136,54087.52,CALL
servando acosta verdugo,sonora,260590559,trigo,272,108175.04,CALL
roberto martinez duarte,sonora,260590500,trigo,136,54461.18,CALL
predio la esquina spr de ri,sonora,260590526,trigo,2041,816917.64,CALL
predio la esquina spr de ri,sonora,260590526,trigo,408,163383.53,CALL
jorge marcelo spr de ri,sonora,260590534,trigo,408,163383.53,CALL
el riesgo spr de rl,sonora,260590542,trigo,2585,1034762.34,CALL
el riesgo spr de rl,sonora,260590542,trigo,136,54461.18,CALL
jorge alberto acosta espinoza,sonora,260590567,trigo,136,54461.18,CALL
jorge alberto acosta espinoza,sonora,260590567,trigo,136,54461.18,CALL
juan francisco valenzuela zamorano,sonora,260590575,trigo,272,108922.35,CALL
juan  francisco  valenzuela zamorano,sonora,260590575,trigo,136,54461.18,CALL
rosario vazquez duarte,sonora,260590583,trigo,408,163383.53,CALL
rosario vázquez duarte,sonora,260590583,trigo,272,108922.35,CALL
francisco iglesias soriano,sonora,260590591,trigo,272,108922.35,CALL
grupo los arrieros spr de ri,sonora,260590609,trigo,1497,599072.93,CALL
grupo los arrieros spr de ri,sonora,260590609,trigo,408,163383.53,CALL
gotros spr de ri,sonora,260590617,trigo,3266,1307068.22,CALL
gotros spr de ri,sonora,260590617,trigo,544,217844.7,CALL
vimifos sa de cv,sonora,260590625,trigo,3402,1081287.05,PUT
vimifos sa de cv,sonora,260590625,trigo,10886,3490011.08,PUT
vimifos sa de cv,sonora,260590633,trigo,14288,5600721.67,PUT
vimifos sa de cv,sonora,260590641,trigo,3402,1548357.62,PUT
vimifos sa de cv,sonora,260590641,trigo,11022,5016678.7,PUT
salomon felix encinas,sonora,260590658,trigo,1497,640175.14,CALL
salomon felix encinas,sonora,260590658,trigo,1905,814768.36,CALL
salomon felix encinas,sonora,260590658,trigo,4899,2108570.28,CALL
salomon felix encinas,sonora,260590658,trigo,5987,2577141.46,CALL
salomon felix encinas,sonora,260590658,trigo,1497,660726.25,CALL
salomon felix encinas,sonora,260590658,trigo,12791,5646206.12,CALL
salomon felix encinas,sonora,260590658,trigo,14424,6565036.32,CALL
molinera de mexico sa de cv,sonora,260590666,trigo,136,75012.28,PUT
javier moreno hoyos,sonora,260590674,trigo,136,48109.02,CALL
molinera de mexico sa de cv,sonora,260590682,trigo,5035,2222442.84,PUT
molinera de mexico sa de cv,sonora,260590690,trigo,13472,7056295.91,PUT
molinera de mexico sa de cv,sonora,260590690,trigo,6532,3421234.38,PUT
comercializadora agroindustrial aoass sa de cv,sonora,260590708,trigo,3810,1619074.35,CALL
comercializadora agroindustrial aoass sa de cv,sonora,260590708,trigo,1225,520416.75,CALL
comercializadora agroindustrial aoass sa de cv,sonora,260590716,trigo,20003,8500140.33,CALL
grupo altex sa de cv,sonora,260590724,trigo,5171,3020854.02,PUT
jairo omar espinoza leal,sonora,260590732,trigo,136,46614.39,CALL
lucio german campos,sonora,260590740,trigo,272,93228.78,CALL
lucio german campos,sonora,260590740,trigo,136,46614.39,CALL
pedro genaro almada almada,sonora,260590757,trigo,272,93228.78,CALL
los yoyomos spr de ri,sonora,260590765,trigo,1361,466143.9,CALL
agropecuaria baco spr de rl,sonora,260590773,trigo,2994,1025516.58,CALL
molinos del sudeste sa de cv,sonora,260590781,trigo,2449,886139.74,PUT
tablex miller s de rl de cv,sonora,260590815,trigo,3402,1230749.63,PUT
tablex miller s de rl de cv,sonora,260590815,trigo,7893,2855339.15,PUT
molinos del sudeste sa de cv,sonora,260590799,trigo,2585,1198050.21,PUT
tablex miller s de rl de cv,sonora,260590823,trigo,4218,1954713.5,PUT
tablex miller s de rl de cv,sonora,260590823,trigo,7076,3278874.26,PUT
molinos del sudeste sa de cv,sonora,260590807,trigo,5035,2747803.81,PUT
tablex miller s de rl de cv,sonora,260590831,trigo,22453,12253719.71,PUT
comercializadora agroindustrial aoass sa de cv,sonora,260590849,trigo,10070,3338862.56,CALL
agricola aguatapada spr de ri,sonora,260590856,trigo,2722,902395.29,CALL
agricola chairez spr de ri,sonora,260590864,trigo,1497,496317.41,CALL
agricola chairez spr de ri,sonora,260590864,trigo,272,90239.53,CALL
agricola ego spr de rl,sonora,260590872,trigo,1361,451197.64,CALL
agropecuaria alaniz spr de ri,sonora,260590880,trigo,680,225598.82,CALL
agropecuaria amparan sa de cv,sonora,260590898,trigo,2994,992634.82,CALL
agropecuaria sonorense del rio yaqui,sonora,260590906,trigo,1225,406077.88,CALL
agropecuaria sonorense del rio yaqui,sonora,260590906,trigo,272,90239.53,CALL
bringas cota ricardo,sonora,260590914,trigo,272,90239.53,CALL
bringas cota ricardo,sonora,260590914,trigo,136,45119.76,CALL
campo victoria spr de ri,sonora,260590922,trigo,2722,902395.29,CALL
campo victoria spr de ri,sonora,260590922,trigo,136,45119.76,CALL
corral wilson maria dolores,sonora,260590930,trigo,136,45119.76,CALL
el tributo spr de ri,sonora,260590948,trigo,2041,676796.47,CALL
flores corral ariel,sonora,260590955,trigo,272,90239.53,CALL
flores corral gonzalo martin,sonora,260590963,trigo,408,135359.29,CALL
flores medina guillermo,sonora,260590971,trigo,544,180479.06,CALL
flores medina jorge adalberto,sonora,260590989,trigo,544,180479.06,CALL
flores medina manuel hermas,sonora,260590997,trigo,544,180479.06,CALL
flores moreno alvaro martin,sonora,260591003,trigo,408,135359.29,CALL
flores moreno eduardo,sonora,260591011,trigo,272,90239.53,CALL
flores nava manuel hermes,sonora,260591029,trigo,544,180479.06,CALL
flores yepiz guillermo,sonora,260591037,trigo,136,45119.76,CALL
integradora   de   organismos campesinos del noroeste sa de cv,sonora,260591045,trigo,2041,676796.47,CALL
jesus maximiano gil felix,sonora,260591052,trigo,272,90239.53,CALL
jose maria chavez esquer spr de ri,sonora,260591060,trigo,408,135359.29,CALL
julio jaime contreras borbon,sonora,260591078,trigo,136,45119.76,CALL
karla maria alvarez aguilar,sonora,260591086,trigo,272,90239.53,CALL
kenya vargas breach,sonora,260591094,trigo,136,45119.76,CALL
kenya vargas breach,sonora,260591094,trigo,272,90239.53,CALL
maragu spr de ri,sonora,260591102,trigo,272,90239.53,CALL
marco antonio zazueta nieto,sonora,260591110,trigo,136,45119.76,CALL
maria dolores ceballos esquer,sonora,260591128,trigo,544,180479.06,CALL
moreno fontes   socorro griselda,sonora,260591136,trigo,544,180479.06,CALL
nava caloca clementina,sonora,260591144,trigo,272,90239.53,CALL
parada  castelo  judith  del carmen,sonora,260591151,trigo,544,180479.06,CALL
productores de la irrigacion,sonora,260591169,trigo,2041,676796.47,CALL
ramirez espinoza luis alberto,sonora,260591177,trigo,272,90239.53,CALL
ramirez espinoza luis alberto,sonora,260591177,trigo,136,45119.76,CALL
robinson bours cabrera andres alberto,sonora,260591185,trigo,544,180479.06,CALL
romualdo cardenas salazar,sonora,260591193,trigo,136,45119.76,CALL
barredezspr de ri,sonora,260591201,trigo,1905,631676.7,CALL
guadalupe gutierrez pacheco,sonora,260591219,trigo,136,45119.76,CALL
yepiz garcia ignacio,sonora,260591227,trigo,272,90239.53,CALL
yepiz garcia martha alicia,sonora,260591235,trigo,136,45119.76,CALL
ramon antonio baldenegro arredondo,sonora,260591243,trigo,136,45119.76,CALL
rocel spr de ri,sonora,260591250,trigo,408,135359.29,CALL
dolores higuera perez,sonora,260591268,trigo,544,180479.06,CALL
abelardo obregon vega,sonora,260591276,trigo,408,135359.29,CALL
abelardo obregon vega,sonora,260591276,trigo,136,45119.76,CALL
alfonso romo morales,sonora,260591284,trigo,544,180479.06,CALL
wilson vega vicente gilberto,sonora,260591292,trigo,136,45119.76,CALL
antonio jesus barcelo urquijo,sonora,260591300,trigo,408,135359.29,CALL
armando sierra quezada,sonora,260591318,trigo,272,90239.53,CALL
conrrado hernandez barreras,sonora,260591326,trigo,272,90239.53,CALL
daniel alfonso borbon cubedo,sonora,260591334,trigo,408,135359.29,CALL
fernando esquer quiroz,sonora,260591342,trigo,272,90239.53,CALL
francisco martin corral ross,sonora,260591359,trigo,680,225598.82,CALL
jesus antonio urrea zarate,sonora,260591367,trigo,136,45119.76,CALL
jesus armando muñoz grajeda,sonora,260591375,trigo,136,45119.76,CALL
luis elias lopez ramirez,sonora,260591383,trigo,272,90239.53,CALL
luisa maria morales salido,sonora,260591391,trigo,272,90239.53,CALL
luz elena zarate alcantar,sonora,260591409,trigo,136,45119.76,CALL
manuel de jesus miranda davizon,sonora,260591417,trigo,272,90239.53,CALL
manuel de jesus miranda davizon,sonora,260591417,trigo,136,45119.76,CALL
maribel yepiz talamante,sonora,260591425,trigo,544,180479.06,CALL
martin gastelum ibarra,sonora,260591433,trigo,136,45119.76,CALL
martin gastelum ibarra,sonora,260591433,trigo,136,45119.76,CALL
orlando almada valdez,sonora,260591441,trigo,272,90239.53,CALL
rafael federico dow russo,sonora,260591458,trigo,136,45119.76,CALL
ramon abimael aguilar cota,sonora,260591466,trigo,272,90239.53,CALL
ramon abimael aguilar cota,sonora,260591466,trigo,272,90239.53,CALL
campo la loma spr de ri,sonora,260591474,trigo,953,315838.35,CALL
campo la loma spr de ri,sonora,260591474,trigo,136,45119.76,CALL
agricola noriega s.p.r. de r.i.,sonora,260591482,trigo,953,315838.35,CALL
agricola noriega s.p.r. de r.i.,sonora,260591482,trigo,136,45119.76,CALL
barreras valenzuela francisco,sonora,260591490,trigo,136,45119.76,CALL
barreras valenzuela francisco,sonora,260591490,trigo,136,45119.76,CALL
barriga pacheco roberto,sonora,260591508,trigo,136,45119.76,CALL
borquez encinas gustavo gpe.,sonora,260591516,trigo,136,45119.76,CALL
campoy ibarra german,sonora,260591524,trigo,680,225598.82,CALL
cardenas villegas arnoldo,sonora,260591532,trigo,544,180479.06,CALL
diaz valenzuela cipriano,sonora,260591540,trigo,272,90239.53,CALL
"hermanos zazueta, spr de ri.",sonora,260591557,trigo,408,135359.29,CALL
ivan martinez salazar spr de ri.,sonora,260591565,trigo,544,180479.06,CALL
medina anaya guillermo,sonora,260591573,trigo,408,135359.29,CALL
rojo esquer indalecio,sonora,260591581,trigo,136,45119.76,CALL
grupo trimex sa de cv,sonora,260591599,trigo,3810,1284278.16,PUT
grupo trimex sa de cv,sonora,260591607,trigo,3810,1524912.92,PUT
grupo trimex sa de cv,sonora,260591615,trigo,7484,3550244.5,PUT
comercializadora agroindustrial aoass sa de cv,sonora,260591623,trigo,10886,3669366.18,CALL
comercializadora agroindustrial aoass sa de cv,sonora,260591623,trigo,4218,1421879.4,CALL
molino la fama sa de cv,sonora,260591649,trigo,816,272960.52,PUT
molino la fama sa de cv,sonora,260591656,trigo,953,381228.23,PUT
grupo trimex sa de cv,sonora,260591631,trigo,2858,1371241.47,PUT
molino la fama sa de cv,sonora,260591664,trigo,1769,848863.77,PUT
agrícola pasani,sonora,260591672,trigo,1361,458670.77,CALL
agrícola pasani,sonora,260591672,trigo,2177,733873.24,CALL
feriva spr de rl,sonora,260591680,trigo,2858,963208.62,CALL
munsa molinos sa de cv,sonora,260591698,trigo,544,177489.81,PUT
munsa molinos sa de cv,sonora,260591698,trigo,953,310607.16,PUT
munsa molinos sa de cv,sonora,260591722,trigo,1089,354979.61,PUT
munsa molinos sa de cv,sonora,260591722,trigo,136,44372.45,PUT
munsa molinos sa de cv,sonora,260591722,trigo,816,266234.71,PUT
grupo trimex sa de cv,sonora,260591755,trigo,3674,1198056.19,PUT
grupo trimex sa de cv,sonora,260591789,trigo,1905,621214.32,PUT
munsa molinos sa de cv,sonora,260591706,trigo,1497,640175.14,PUT
munsa molinos sa de cv,sonora,260591730,trigo,2041,872966.1,PUT
grupo trimex sa de cv,sonora,260591763,trigo,3810,1629536.73,PUT
grupo trimex sa de cv,sonora,260591797,trigo,1769,756570.62,PUT
munsa molinos sa de cv,sonora,260591714,trigo,3130,1587776.88,PUT
munsa molinos sa de cv,sonora,260591714,trigo,136,69033.78,PUT
munsa molinos sa de cv,sonora,260591748,trigo,4218,2140047.1,PUT
grupo trimex sa de cv,sonora,260591771,trigo,7484,3796857.77,PUT
grupo trimex sa de cv,sonora,260591805,trigo,3674,1863911.99,PUT
agrícola y ganadera la esperanza sa de cv,sonora,260591961,trigo,1361,354046.97,CALL
agropecuaria costa del sol spr de rl,sonora,260591979,trigo,408,106214.09,CALL
agropecuaria costa del sol spr de rl,sonora,260591979,trigo,136,35404.7,CALL
agropecuaria jerusalem spr de rl,sonora,260591987,trigo,272,70809.39,CALL
agropecuaria jerusalem spr de rl,sonora,260591987,trigo,544,141618.79,CALL
lopder spr de rl,sonora,260591995,trigo,544,141618.79,CALL
lopder spr de rl,sonora,260591995,trigo,136,35404.7,CALL
francisco   enriquez   lohr carranza,sonora,260592001,trigo,953,247832.88,CALL
martin samuel cecco peralta,sonora,260592019,trigo,680,177023.48,CALL
gerardo cecco peralta,sonora,260592027,trigo,544,141618.79,CALL
karla   rosario  villaescuza sesteaga,sonora,260592035,trigo,544,141618.79,CALL
karla   rosario  villaescuza sesteaga,sonora,260592035,trigo,136,35404.7,CALL
jabaman spr de rl,sonora,260592043,trigo,1225,318642.27,CALL
jabaman spr de rl,sonora,260592043,trigo,136,35404.7,CALL
jabaman spr de rl,sonora,260592043,trigo,136,35404.7,CALL
agropecuaria el piojo sa de cv,sonora,260592050,trigo,816,212428.18,CALL
agropecuaria el piojo sa de cv,sonora,260592050,trigo,136,35404.7,CALL
spr de rl campo felizardo castro de la calle 28 sur,sonora,260592068,trigo,680,177023.48,CALL
spr de rl campo felizardo castro de la calle 28 sur,sonora,260592068,trigo,408,106214.09,CALL
juan manuel favela fuentes,sonora,260592076,trigo,680,177023.48,CALL
alejandro molina carrillo,sonora,260592084,trigo,408,106214.09,CALL
rebeca robles guerra,sonora,260592092,trigo,680,177023.48,CALL
rogelio larrinaga gastelum,sonora,260592100,trigo,1361,354046.97,CALL
rogelio larrinaga gastelum,sonora,260592100,trigo,136,35404.7,CALL
carlo rene ciscomani molina,sonora,260592118,trigo,953,247832.88,CALL
carlo rene ciscomani molina,sonora,260592118,trigo,544,141618.79,CALL
comercializadora agroindustrial aoass sa de cv,sonora,260592126,trigo,14969,3894516.62,CALL
feriva spr de rl,sonora,260592134,trigo,5307,1380783.16,CALL
alianza campesina del noroeste ac,sonora,260592142,trigo,2041,531070.45,CALL
molinera de mexico sa de cv,sonora,260591813,trigo,10070,5219101.85,PUT
molinera de mexico sa de cv,sonora,260591821,trigo,1225,634755.63,PUT
molinera de mexico sa de cv,sonora,260591839,trigo,1089,564227.23,PUT
julio aviña spr de rl,sonora,260592159,trigo,1225,311916.45,CALL
maria eugenia flores quiñonez,sonora,260592464,trigo,1089,277259.07,CALL
maria eugenia flores quiñonez,sonora,260592464,trigo,136,34657.38,CALL
icela elma amarillas corral y coopropietarios,sonora,260592472,trigo,816,207944.3,CALL
icela elma amarillas corral y copropietarios,sonora,260592472,trigo,136,34657.38,CALL
agricola gapa sa de cv,sonora,260592480,trigo,816,207944.3,CALL
ascension chavez garcia,sonora,260592498,trigo,272,69314.77,CALL
grupo barba camargo sor de ri,sonora,260592506,trigo,2041,519860.75,CALL
vielledent rivera ernesto,sonora,260592514,trigo,544,138629.53,CALL
gonzalez romo enrique jesus,sonora,260592522,trigo,136,34657.38,CALL
romo terminel susana maria,sonora,260592530,trigo,544,138629.53,CALL
romo terminel susana maria,sonora,260592530,trigo,136,34657.38,CALL
turymayo spr de rl,sonora,260592548,trigo,3402,866434.59,CALL
turymayo spr de rl,sonora,260592555,trigo,953,242601.69,CALL
gil flores felipe,sonora,260592563,trigo,136,34657.38,CALL
molino la fama sa de cv,sonora,260591847,trigo,3402,1184042.58,PUT
molinera del fuerte sa de cv,sonora,260591870,trigo,2041,710425.55,PUT
harinera de sinaloa sa de cv,sonora,260591904,trigo,272,94723.41,PUT
molino la fama sa de cv,sonora,260591854,trigo,4082,1813190.37,PUT
molinera del fuerte sa de cv,sonora,260591888,trigo,2177,967034.86,PUT
harinera de sinaloa sa de cv,sonora,260591912,trigo,544,241758.72,PUT
molino la fama sa de cv,sonora,260591862,trigo,6804,3563785.81,PUT
molino la fama sa de cv,sonora,260591862,trigo,544,288092.12,PUT
molinera del fuerte sa de cv,sonora,260591896,trigo,3810,2016644.82,PUT
harinera de sinaloa sa de cv,sonora,260591920,trigo,544,288092.12,PUT
quijada morales jose,sonora,260592167,trigo,2585,658490.29,CALL
quijada morales jose,sonora,260592167,trigo,1497,381231.22,CALL
miguel hidalgo de la costa spr de ri,sonora,260592175,trigo,544,138629.53,CALL
miguel hidalgo de la costa spr de ri,sonora,260592175,trigo,136,34657.38,CALL
miguel hidalgo de la costa spr de ri,sonora,260592175,trigo,136,34657.38,CALL
villaescuza villaescuza carlos,sonora,260592183,trigo,680,173286.92,CALL
el charco de las calenturas spr de rl,sonora,260592191,trigo,544,138629.53,CALL
spr de ri la laguna de la costa,sonora,260592209,trigo,544,138629.53,CALL
velazquez   salazar   carlos manuel,sonora,260592217,trigo,544,138629.53,CALL
alejandro grijalva arnold,sonora,260592225,trigo,272,69314.77,CALL
alejandro grijalva arnold,sonora,260592225,trigo,272,69314.77,CALL
coragri k,sonora,260592233,trigo,544,138629.53,CALL
teran p0arra miguelangel,sonora,260592241,trigo,408,103972.15,CALL
rodrigues hopkins agustín,sonora,260592258,trigo,408,103972.15,CALL
araiza salazar marcelo evaristo,sonora,260592266,trigo,272,69314.77,CALL
araiza salazar marcelo evaristo,sonora,260592266,trigo,136,34657.38,CALL
contreras  loustaunau  jesus armando,sonora,260592274,trigo,136,34657.38,CALL
contreras  loustaunau  jesus armando,sonora,260592274,trigo,136,34657.38,CALL
lopez lopez ignacio,sonora,260592282,trigo,136,34657.38,CALL
lopez lopez ignacio,sonora,260592282,trigo,136,34657.38,CALL
guzman andrade manuel antonio,sonora,260592290,trigo,544,138629.53,CALL
guzman andrade manuel antonio,sonora,260592290,trigo,3810,970406.74,CALL
guzman andrade manuel antonio,sonora,260592290,trigo,408,103972.15,CALL
agricola hm sa de cv,sonora,260592308,trigo,2313,589175.52,CALL
agricola hm sa de cv,sonora,260592308,trigo,680,173286.92,CALL
enriquez tolano hermanos spr de ri,sonora,260592316,trigo,1633,415888.6,CALL
enriquez tolano hermanos spr de ri,sonora,260592316,trigo,816,207944.3,CALL
enriquez tolano hermanos spr de ri,sonora,260592316,trigo,136,34657.38,CALL
sarabia gomez spr de ri,sonora,260592324,trigo,1225,311916.45,CALL
sarabia gomez spr de ri,sonora,260592324,trigo,272,69314.77,CALL
los salas castillo spr de ri,sonora,260592332,trigo,272,69314.77,CALL
los salas castillo spr de ri,sonora,260592332,trigo,272,69314.77,CALL
el repariteño spr de ri,sonora,260592340,trigo,408,103972.15,CALL
cornejo garcia luis oscar,sonora,260592357,trigo,272,69314.77,CALL
cornejo garcia luis oscar,sonora,260592357,trigo,136,34657.38,CALL
vera ayala alicia,sonora,260592365,trigo,272,69314.77,CALL
herrera cornejo arturo,sonora,260592373,trigo,272,69314.77,CALL
murrieta noriega joaquin,sonora,260592381,trigo,408,103972.15,CALL
nutricion y alimentos de sonora sa de cv,sonora,260591938,trigo,408,139843.17,PUT
scp nutrición acupec sc de rl de cv,sonora,260599980,trigo,408,139843.17,PUT
nutricion y alimentos de sonora sa de cv,sonora,260591946,trigo,544,238769.46,PUT
scp nutrición acupec sc de rl de cv,sonora,260599998,trigo,408,179077.1,PUT
nutricion y alimentos de sonora sa de cv,sonora,260591953,trigo,953,488467.63,PUT
scp nutrición acupec sc de rl de cv,sonora,2605910013,trigo,953,488467.63,PUT
leonor coronado enriquez,sonora,260592399,trigo,136,34657.38,CALL
leonor coronado enriquez,sonora,260592399,trigo,136,34657.38,CALL
balvaneda guadalupe de la llata coronado,sonora,260592407,trigo,408,103972.15,CALL
manuel  maria  de  la  llata coronado,sonora,260592415,trigo,272,69314.77,CALL
jesus antonio de la llata ibarra,sonora,260592423,trigo,408,103972.15,CALL
angel eduardo de  la llata coronado,sonora,260592431,trigo,272,69314.77,CALL
jorge  alberto  de  la  llata coronado,sonora,260592449,trigo,136,34657.38,CALL
jorge  alberto  de  la  llata coronado,sonora,260592449,trigo,136,34657.38,CALL
agricola del alto sa de cv,sonora,260592456,trigo,1633,415888.6,CALL
agricola del alto sa de cv,sonora,260592456,trigo,136,34657.38,CALL
munsa molinos sa de cv,sonora,260592571,trigo,1905,574133.61,PUT
munsa molinos sa de cv,sonora,260592571,trigo,8301,2501582.14,PUT
munsa molinos sa de cv,sonora,260592605,trigo,2177,656152.69,PUT
munsa molinos sa de cv,sonora,260592605,trigo,816,246057.26,PUT
munsa molinos sa de cv,sonora,260592605,trigo,272,81271.77,PUT
molinos del sudeste sa de cv,sonora,260592787,trigo,2449,731445.96,PUT
munsa molinos sa de cv,sonora,260592589,trigo,1497,537419.62,PUT
munsa molinos sa de cv,sonora,260592589,trigo,5307,1905396.83,PUT
munsa molinos sa de cv,sonora,260592589,trigo,3402,1221408.22,PUT
munsa molinos sa de cv,sonora,260592613,trigo,2313,830557.59,PUT
munsa molinos sa de cv,sonora,260592613,trigo,953,341994.3,PUT
molinos del sudeste sa de cv,sonora,260592795,trigo,2585,928270.25,PUT
munsa molinos sa de cv,sonora,260592597,trigo,17146,8227448.84,PUT
munsa molinos sa de cv,sonora,260592597,trigo,3402,1632430.32,PUT
munsa molinos sa de cv,sonora,260592621,trigo,6940,3330157.86,PUT
molinos del sudeste sa de cv,sonora,260592803,trigo,4218,2024213.6,PUT
molinos del sudeste sa de cv,sonora,260592803,trigo,816,391783.28,PUT
agricola aguatapada spr de rl,sonora,260592878,trigo,1497,463435.64,CALL
agricola aguatapada spr de rl,sonora,260592878,trigo,272,84261.03,CALL
agricola aguatapada spr de rl,sonora,260592878,trigo,136,42130.51,CALL
agricola bacobampo spr de ri,sonora,260592886,trigo,1633,505566.15,CALL
agricola bacobampo spr de ri,sonora,260592886,trigo,272,84261.03,CALL
agricola bacson spr de ri,sonora,260592894,trigo,2177,674088.2,CALL
